label,Id,image_type
daisy,3445110406_0c1616d2e3_n,.jpg
daisy,147068564_32bb4350cc,.jpg
daisy,6884975451_c74f445d69_m,.jpg
daisy,12348343085_d4c396e5b5_m,.jpg
daisy,8489463746_a9839bf7e4,.jpg
dandelion,13942846777_5571a6b0a1_n,.jpg
dandelion,14065420729_9b388bf7cb_m,.jpg
dandelion,5655177340_78fc36ce59_m,.jpg
dandelion,16096748028_7876887ab2,.jpg
dandelion,141340262_ca2e576490,.jpg
roses,5979193298_639e877248,.jpg
roses,3109712111_75cea2dee6,.jpg
roses,4065283966_9504b98269,.jpg
roses,2331651885_619653a5d3,.jpg
roses,15061894841_e5aca59ecd_n,.jpg
sunflowers,8249000137_eddfffa380_n,.jpg
sunflowers,151898652_b5f1c70b98_n,.jpg
sunflowers,14741813010_5d44e33088_n,.jpg
sunflowers,4932144003_cbffc89bf0,.jpg
sunflowers,15118243470_7e0a7f159c_n,.jpg
tulips,13514131694_d91da4f4fc,.jpg
tulips,16594995743_ce72c61201_n,.jpg
tulips,4565139594_b28d260cb9,.jpg
tulips,6982913043_3b873c6a25,.jpg
tulips,485266837_671def8627,.jpg
